学号,individual_report
200307700011,"【学业发展诊断建议书】
学号：200307700011 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 0.996。虽在【图书馆】上极其自律，但由于完全偏离了【毕业去向】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 0.996。核心归因为【综合偏差】，当前学业薄弱点为【毕业去向】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【毕业去向】，确保能顺利达成学业目标。"
pjvyzvfj974,"【学业发展诊断建议书】
学号：pjvyzvfj974 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 1.0。虽在【成绩】上极其自律，但由于完全偏离了【选课】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【选课】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【选课】，确保能顺利达成学业目标。"
pjvyzvfj977,"【学业发展诊断建议书】
学号：pjvyzvfj977 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 0.93。虽在【本科生综合测评】上极其自律，但由于完全偏离了【日常锻炼】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 0.93。核心归因为【综合偏差】，当前学业薄弱点为【日常锻炼】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【日常锻炼】，确保能顺利达成学业目标。"
pjvyzvfj989,"【学业发展诊断建议书】
学号：pjvyzvfj989 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 0.93。虽在【成绩】上极其自律，但由于完全偏离了【日常锻炼】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 0.93。核心归因为【综合偏差】，当前学业薄弱点为【日常锻炼】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【日常锻炼】，确保能顺利达成学业目标。"
pjvyzvfj994,"【学业发展诊断建议书】
学号：pjvyzvfj994 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 1.0。虽在【本科生综合测评】上极其自律，但由于完全偏离了【日常锻炼】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【行为轨迹发生显著漂移】，当前学业薄弱点为【日常锻炼】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【日常锻炼】，确保能顺利达成学业目标。"
pjvyzvfj998,"【学业发展诊断建议书】
学号：pjvyzvfj998 | 诊断画像：学业游离型 | 演化轨迹：持续优良型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：该生行为模式稳定，但在评价体系中触发了【高危稳态偏离】。 系统判定的风险概率极高，达到 1.0。虽在【四六级】上极其自律，但由于完全偏离了【日常锻炼】等关键考核指标，导致学业轨迹出现结构性偏差。

3. 诊断结论：系统判定风险概率为 1.0。核心归因为【综合偏差】，当前学业薄弱点为【日常锻炼】。

4. 干预建议：建议关注该生是否存在‘盲目自律’，需引导其将精力回归至【日常锻炼】，确保能顺利达成学业目标。"
pjvyzxbj993,"【学业发展诊断建议书】
学号：pjvyzxbj993 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.964）。其在【社团活动】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.964。核心归因为【综合偏差】，当前学业薄弱点为【社团活动】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【社团活动】维度的断层，防止其彻底滑向学业违约。"
pjvyzxbj995,"【学业发展诊断建议书】
学号：pjvyzxbj995 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.959）。其在【四六级】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.959。核心归因为【综合偏差】，当前学业薄弱点为【四六级】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【四六级】维度的断层，防止其彻底滑向学业违约。"
pjvyzxbj997,"【学业发展诊断建议书】
学号：pjvyzxbj997 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.967）。其在【学生签到】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.967。核心归因为【综合偏差】，当前学业薄弱点为【学生签到】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【学生签到】维度的断层，防止其彻底滑向学业违约。"
pjvyzxbj998,"【学业发展诊断建议书】
学号：pjvyzxbj998 | 诊断画像：学业游离型 | 演化轨迹：低活跃型

1. 画像定义：处于学业边缘，核心指标大幅跌破基准线，存在脱离学业轨道的风险。

2. 动态分析：长期处于低参与度状态，表现出‘慢性游离’特征。 系统判定该生处于高风险区间（概率 0.954）。其在【成绩】等核心指标上长期缺失，当前画像与其应有的学业状态存在显著差异。

3. 诊断结论：系统判定风险概率为 0.954。核心归因为【综合偏差】，当前学业薄弱点为【成绩】。

4. 干预建议：建议通过强制性学业辅导，重点弥补其在【成绩】维度的断层，防止其彻底滑向学业违约。"
